,timestamp,ADA/USDT_open,ADA/USDT_high,ADA/USDT_low,ADA/USDT_close,ADA/USDT_volume,ATOM/USDT_open,ATOM/USDT_high,ATOM/USDT_low,ATOM/USDT_close,ATOM/USDT_volume,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,LINK/USDT_open,LINK/USDT_high,LINK/USDT_low,LINK/USDT_close,LINK/USDT_volume,LTC/USDT_open,LTC/USDT_high,LTC/USDT_low,LTC/USDT_close,LTC/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
1164,2022-09-04,0.480234,0.51041,0.475689,0.503514,70321681.09,12.62639,13.04509,12.41,13.04509,175914.86,7.287,7.413,7.133,7.375,794317.36,6.8594,7.2702,6.7903,7.1546,112230.55,60.15,60.99,58.61,60.93,56506.9764,1.5222,1.55733,1.51035,1.5565,74384.98
1165,2022-09-05,0.503514,0.507243,0.482632,0.498418,44065939.21,13.04509,13.35514,12.47616,12.62869,149953.56,7.375,7.64,7.263,7.367,1058849.84,7.1546,7.4134,7.0944,7.3712,129919.12,60.93,61.61,59.26,60.39,61459.2843,1.5565,1.56576,1.50242,1.54539,107444.75
1166,2022-09-06,0.498418,0.511735,0.460109,0.462504,117758483.81,12.62869,12.98057,11.74422,11.77627,356213.34,7.367,7.692,6.821,6.877,1939993.29,7.3712,7.5338,6.5782,6.655,185013.59,60.39,62.73,54.01,54.09,245682.2677,1.54539,1.59149,1.42542,1.42591,234837.4
1167,2022-09-07,0.462504,0.482088,0.453877,0.478841,63732746.02,11.77627,13.24351,11.52971,12.93032,305012.4,6.877,7.298,6.753,7.197,1313218.14,6.655,7.1455,6.5758,7.0813,145694.9,54.09,58.29,52.92,57.3,200712.9037,1.42591,1.50323,1.40084,1.4877,153044.18
1168,2022-09-08,0.478841,0.482943,0.463088,0.479024,70936746.98,12.93032,14.13814,12.62795,13.87967,405022.81,7.197,7.451,7.033,7.388,1739579.76,7.0813,7.4997,7.0064,7.4046,163784.99,57.3,58.6,56.05,57.97,246430.3131,1.4877,1.60112,1.47032,1.58609,257959.26
1169,2022-09-09,0.479024,0.504444,0.478325,0.502188,67435222.53,13.87967,17.04904,13.75458,16.10547,997428.01,7.388,7.941,7.354,7.758,1731261.38,7.4046,8.0972,7.3914,7.7404,188510.36,57.97,61.92,57.69,61.13,175633.4,1.58609,1.66416,1.58383,1.64307,224419.52
1170,2022-09-10,0.502188,0.524276,0.494602,0.512113,85759178.92,16.10547,16.39716,15.49,16.00199,690164.32,7.758,7.88,7.585,7.772,1362034.64,7.7404,8.0295,7.6184,7.9054,146530.95,61.13,64.65,60.54,63.29,208789.5831,1.64307,1.67911,1.62576,1.66242,205759.62
1171,2022-09-11,0.512113,0.5195,0.500176,0.509784,53388410.5,16.00199,16.29434,15.23989,15.70528,341197.92,7.772,7.9,7.537,7.698,1220357.95,7.9054,8.167,7.7344,8.0268,173983.87,63.29,64.44,61.32,62.15,125263.1424,1.66242,1.75661,1.64497,1.68327,272732.2
1172,2022-09-12,0.509784,0.5195,0.495997,0.501335,77181884.11,15.70528,16.5,14.99292,15.52754,603521.91,7.698,8.051,7.563,7.665,1742146.51,8.0268,8.2935,7.6108,7.7596,199777.62,62.15,63.22,60.15,61.38,175801.9327,1.68327,1.72404,1.6141,1.65544,220120.94
1173,2022-09-13,0.501335,0.508789,0.461668,0.463633,133745394.86,15.52754,16.18,13.70568,13.87285,713375.34,7.665,7.954,7.03,7.067,1819106.24,7.7596,7.9586,7.0207,7.0249,274823.25,61.38,67.43,58.29,59.1,664851.0198,1.65544,1.68817,1.52057,1.52939,382342.38
1174,2022-09-14,0.463633,0.486778,0.462098,0.480808,69192121.26,13.87285,14.46122,13.37617,13.96453,418113.25,7.067,7.306,7.012,7.206,1144250.42,7.0249,7.5335,6.9854,7.4535,225587.58,59.1,61.21,58.17,60.19,221546.84,1.52939,1.62139,1.51372,1.60452,300359.18
1175,2022-09-15,0.480808,0.481662,0.462301,0.466142,97224302.79,13.96453,15.50002,13.20819,14.90046,1014462.22,7.206,7.24,6.87,6.933,1474854.79,7.4535,7.604,7.0188,7.5655,338194.59,60.19,60.84,55.85,56.34,335384.7704,1.60452,1.61237,1.50749,1.51973,352534.09
1176,2022-09-16,0.466142,0.4747,0.454058,0.474619,52992931.74,14.90046,16.79146,14.60004,16.59213,942631.9,6.933,6.976,6.7,6.903,716941.02,7.5655,7.8004,7.4127,7.6595,212123.62,56.34,56.95,54.61,55.95,149701.2536,1.51973,1.55572,1.49948,1.52023,175681.27
