,timestamp,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
1253,2024-01-27,6.67,6.751,6.529,6.668,72832.53,0.97,1.003,0.963,1.0,41894.3
1254,2024-01-28,6.668,6.874,6.57,6.872,78746.57,1.0,1.014,0.963,0.978,44241.47
1255,2024-01-29,6.872,7.295,6.705,7.027,107742.36,0.978,1.008,0.958,1.003,44494.44
1256,2024-01-30,7.027,7.083,6.821,6.833,109565.19,1.003,1.025,0.972,0.977,78192.52
1257,2024-01-31,6.833,6.887,6.585,6.656,66807.24,0.977,0.99,0.951,0.966,46381.62
1258,2024-02-01,6.656,6.816,6.54,6.791,71193.33,0.966,0.984,0.935,0.98,31699.53
1259,2024-02-02,6.791,7.026,6.768,6.946,79396.08,0.98,1.02,0.977,1.013,59299.42
1260,2024-02-03,6.946,7.009,6.817,6.826,88503.2,1.013,1.03,0.987,0.994,46397.98
1261,2024-02-04,6.826,6.827,6.65,6.665,42235.54,0.994,0.997,0.953,0.957,42678.31
1262,2024-02-05,6.665,6.975,6.595,6.735,66123.72,0.957,0.985,0.94,0.964,39960.74
1263,2024-02-06,6.735,6.831,6.649,6.804,76849.51,0.964,0.988,0.961,0.978,65487.88
1264,2024-02-07,6.804,6.964,6.672,6.941,67669.66,0.978,1.007,0.961,1.005,48570.73
1265,2024-02-08,6.941,7.106,6.87,7.012,163276.66,1.005,1.015,0.991,1.01,51594.04
1266,2024-02-09,7.012,7.327,6.959,7.193,240875.38,1.01,1.045,1.004,1.036,76724.51
1267,2024-02-10,7.193,7.287,7.06,7.2,118985.92,1.036,1.045,1.016,1.037,31423.92
1268,2024-02-11,7.2,7.34,7.078,7.098,171675.28,1.037,1.045,1.021,1.029,42046.11
1269,2024-02-12,7.098,7.376,6.982,7.34,122748.85,1.029,1.049,1.006,1.042,51212.11
1270,2024-02-13,7.34,7.45,7.147,7.353,139452.85,1.042,1.058,1.016,1.043,58468.2
